Array	N	Frequency
ifb	unique	44
ifb	unique	176
ifb	unique	52
ifb	unique	55
ifb	unique	53
ifb	unique	40
ifb	unique	37
ifb	unique	37
ifb	unique	37
ifb	unique	42
ifb	unique	42
ifb	unique	43
ifb	unique	28
ifb	unique	42
ifb	unique	49
ifb	unique	122
ifb	unique	43
ifb	unique	37
ifb	unique	50
ifb	unique	80
ifb	unique	108
ifb	unique	37
ifb	unique	52
ifb	unique	50
ifb	unique	69
ifb	unique	88
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	53
ifb	unique	53
ifb	unique	53
ifb	unique	65
ifb	unique	12
ifb	unique	41
ifb	unique	65
ifb	unique	65
ifb	unique	65
ifb	unique	65
ifb	unique	66
ifb	unique	65
ifb	unique	13
ifb	unique	23
ifb	unique	44
ifb	unique	53
ifb	unique	53
ifb	unique	53
ifb	unique	86
ifb	unique	53
ifb	unique	53
ifb	unique	53
ifb	unique	53
ifb	unique	53
ifb	unique	53
ifb	unique	53
ifb	unique	30
ifb	unique	14
ifb	unique	14
ifb	unique	9
ifb	unique	53
ifb	unique	48
ifb	unique	49
ifb	unique	52
ifb	unique	50
ifb	unique	51
ifb	unique	51
ifb	unique	51
ifb	unique	32
ifb	unique	49
ifb	unique	52
ifb	unique	54
ifb	unique	128
ifb	unique	55
ifb	unique	56
ifb	unique	56
ifb	unique	56
ifb	unique	56
ifb	unique	56
ifb	unique	56
ifb	unique	56
ifb	unique	56
ifb	unique	56
ifb	unique	56
ifb	unique	57
ifb	unique	30
ifb	unique	35
ifb	unique	50
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	49
ifb	unique	49
ifb	unique	52
ifb	unique	52
ifb	unique	32
ifb	unique	32
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	56
ifb	unique	56
ifb	unique	56
ifb	unique	56
ifb	unique	56
ifb	unique	56
ifb	unique	52
ifb	unique	52
ifb	unique	54
ifb	unique	54
ifb	unique	54
ifb	unique	54
ifb	unique	54
ifb	unique	54
ifb	unique	54
ifb	unique	54
ifb	unique	54
ifb	unique	54
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	56
ifb	unique	42
ifb	unique	85
ifb	unique	40
ifb	unique	25
ifb	unique	127
ifb	unique	83
ifb	unique	129
ifb	unique	32
ifb	unique	32
ifb	unique	32
ifb	unique	48
ifb	unique	32
ifb	unique	35
ifb	unique	30
ifb	unique	5
ifb	unique	8
ifb	unique	53
ifb	unique	53
ifb	unique	53
ifb	unique	53
ifb	unique	55
ifb	unique	69
ifb	unique	73
ifb	unique	52
ifb	unique	37
ifb	unique	51
ifb	unique	52
ifb	unique	52
tnp	1	70
tnp	1	74
tnp	1	76
tnp	1	74
tnp	1	53
tnp	1	74
tnp	1	56
tnp	1	71
tnp	1	16
tnp	1	73
tnp	1	10
tnp	1	75
tnp	1	75
tnp	1	6
tnp	1	75
tnp	1	82
tnp	1	68
tnp	1	40
tnp	2	15
tnp	2	15
tnp	2	15
tnp	2	13
tnp	2	13
tnp	2	13
tnp	2	13
tnp	2	13
tnp	2	13
tnp	2	15
tnp	2	13
tnp	2	13
tnp	2	13
tnp	2	13
tnp	2	15
tnp	2	15
tnp	2	13
tnp	2	15
tnp	2	13
tnp	2	13
tnp	2	15
vir	1	6
vir	1	6
vir	1	6
vir	1	6
vir	1	6
vir	1	6
vir	1	6
vir	1	6
vir	1	6
vir	1	6
vir	1	6
vir	1	6
vir	2	45
vir	2	45
vir	2	45
vir	2	49
vir	2	49
vir	2	44
vir	2	44
vir	2	57
vir	2	57
vir	2	49
vir	2	44
vir	2	52
